ticker,report_date,trailing_eps
A,2021-05-25,3.79
A,2021-08-17,4.109999999999999
A,2021-11-22,4.34
A,2022-02-22,4.49
A,2022-05-24,4.65
A,2022-08-16,4.89
A,2022-11-21,5.21
A,2023-02-28,5.37
A,2023-05-23,5.51
A,2023-08-15,5.6000000000000005
A,2023-11-20,5.45
A,2024-02-27,5.37
A,2024-05-29,5.319999999999999
A,2024-08-21,5.21
A,2024-11-25,5.29
A,2025-02-26,5.31
A,2025-05-28,5.4
A,2025-08-27,5.45
A,2025-11-24,5.58
A,2026-02-25,5.630000000000001
A,2026-05-27,5.8100000000000005
AAPL,2021-07-27,5.109999999999999
AAPL,2021-10-28,5.619999999999999
AAPL,2022-01-27,6.04
AAPL,2022-04-28,6.16
AAPL,2022-07-28,6.06
AAPL,2022-10-27,6.11
AAPL,2023-02-02,5.89
AAPL,2023-05-04,5.89
AAPL,2023-08-03,5.95
AAPL,2023-11-02,6.12
AAPL,2024-02-01,6.42
AAPL,2024-05-02,6.43
AAPL,2024-08-01,6.57
AAPL,2024-10-31,6.08
AAPL,2025-01-30,6.3
AAPL,2025-05-01,6.42
AAPL,2025-07-31,6.59
AAPL,2025-10-30,7.47
AAPL,2026-01-29,7.91
AAPL,2026-04-30,8.27
AAPL,2026-07-30,8.72
ABBV,2021-07-30,11.81
ABBV,2021-10-29,12.31
ABBV,2022-02-02,12.7
ABBV,2022-04-29,12.91
ABBV,2022-07-29,13.17
ABBV,2022-10-28,13.5
ABBV,2023-02-09,13.790000000000001
ABBV,2023-04-27,13.09
ABBV,2023-07-27,12.63
ABBV,2023-10-27,11.92
ABBV,2024-02-02,11.110000000000001
ABBV,2024-04-26,10.96
ABBV,2024-07-25,10.7
ABBV,2024-10-30,10.75
ABBV,2025-01-31,10.12
ABBV,2025-04-25,10.27
ABBV,2025-07-31,10.59
ABBV,2025-10-31,9.45
ABBV,2026-02-04,10.0
ABBV,2026-04-29,10.190000000000001
ABBV,2026-07-31,10.870000000000001
ABNB,2021-11-04,-11.64
ABNB,2022-02-15,-0.7500000000000001
ABNB,2022-05-03,1.1699999999999997
ABNB,2022-08-02,1.8400000000000003
ABNB,2022-11-01,2.4000000000000004
ABNB,2023-02-14,2.8000000000000003
ABNB,2023-05-09,3.0100000000000007
ABNB,2023-08-03,3.4299999999999997
ABNB,2023-11-01,8.27
ABNB,2024-02-13,7.239999999999999
ABNB,2024-05-08,7.47
ABNB,2024-08-06,7.35
ABNB,2024-11-07,2.8499999999999996
ABNB,2025-02-13,4.129999999999999
ABNB,2025-05-01,3.96
ABNB,2025-08-06,4.129999999999999
ABNB,2025-11-06,4.209999999999999
ABNB,2026-02-12,4.039999999999999
ABNB,2026-05-07,4.06
ABNB,2026-08-06,4.3999999999999995
ABT,2021-07-22,4.92
ABT,2021-10-20,5.34
ABT,2022-01-26,5.21
ABT,2022-04-20,5.62
ABT,2022-07-20,5.88
ABT,2022-10-19,5.630000000000001
ABT,2023-01-25,5.34
ABT,2023-04-19,4.64
ABT,2023-07-20,4.29
ABT,2023-10-18,4.28
ABT,2024-01-24,4.4399999999999995
ABT,2024-04-17,4.39
ABT,2024-07-18,4.449999999999999
ABT,2024-10-16,4.52
ABT,2025-01-22,4.67
ABT,2025-04-16,4.78
